outcome_type,family,tumor_type,endpoint,repeat_id,seed,q2,rmse,spearman,median_lambda,sensitivity,specificity,balanced_accuracy,auc,median_threshold
continuous,thorsson,BRCA,Proliferation,1,20270838,0.52930239200053,0.434362683839717,0.74903756275702,3.32343684650405,,,,,
continuous,thorsson,BRCA,Proliferation,2,20280838,0.525999022283585,0.435884204061523,0.745563052774869,3.24360743029575,,,,,
continuous,thorsson,BRCA,Proliferation,3,20290838,0.53154153164387,0.433328306219226,0.74994746354577,3.29077850089805,,,,,
continuous,thorsson,BRCA,Proliferation,4,20300838,0.531305163460696,0.433437613782853,0.74936950905521,3.26123360488329,,,,,
continuous,thorsson,BRCA,Proliferation,5,20310838,0.534505653957913,0.431955210812329,0.751547008940947,3.2640741676844,,,,,
continuous,thorsson,BRCA,Wound Healing,1,20270833,0.542713944259096,0.109126700251615,0.733402642639137,0.8991199125967,,,,,
continuous,thorsson,BRCA,Wound Healing,2,20280833,0.544229474090817,0.108945717227976,0.733890578581702,0.897457490823229,,,,,
continuous,thorsson,BRCA,Wound Healing,3,20290833,0.541879171564993,0.10922625987359,0.733549853115751,0.892581266869007,,,,,
continuous,thorsson,BRCA,Wound Healing,4,20300833,0.542764193032727,0.10912070440565,0.731670920196073,0.900700527073848,,,,,
continuous,thorsson,BRCA,Wound Healing,5,20310833,0.53919880465467,0.109545323594633,0.730359083821924,0.88297746519672,,,,,
continuous,thorsson,KIRP,Proliferation,1,20270836,0.526987623849504,0.388863438631442,0.627601816673773,3.32559403061956,,,,,
continuous,thorsson,KIRP,Proliferation,2,20280836,0.52428362486898,0.389973333378234,0.62386398840734,3.0554192025952,,,,,
continuous,thorsson,KIRP,Proliferation,3,20290836,0.497331158875306,0.40086841874829,0.609064537270093,3.41218398333842,,,,,
continuous,thorsson,KIRP,Proliferation,4,20300836,0.532237751817734,0.386699351986267,0.623237979791032,3.50003814357593,,,,,
continuous,thorsson,KIRP,Proliferation,5,20310836,0.511987999645663,0.394980914500962,0.601113721636547,3.17385199556355,,,,,
continuous,thorsson,LUAD,Proliferation,1,20270837,0.536375192428265,0.443843460973823,0.739609844827488,6.10280787651921,,,,,
continuous,thorsson,LUAD,Proliferation,2,20280837,0.528842647326392,0.447434511809009,0.734792647850411,5.76974382875626,,,,,
continuous,thorsson,LUAD,Proliferation,3,20290837,0.545326726467606,0.43953777568915,0.740579134435013,4.22979816291835,,,,,
continuous,thorsson,LUAD,Proliferation,4,20300837,0.538542998444828,0.442804588737607,0.739625427981767,4.87611177387045,,,,,
continuous,thorsson,LUAD,Proliferation,5,20310837,0.534030255514987,0.444964488350826,0.737200201658215,5.15702734015976,,,,,
continuous,thorsson,SARC,Macrophage Regulation,1,20270835,0.550634446605311,0.597032483918896,0.733069491914663,5.5370058657577,,,,,
continuous,thorsson,SARC,Macrophage Regulation,2,20280835,0.515525890429785,0.61991673260997,0.706216624673498,5.43226462899484,,,,,
continuous,thorsson,SARC,Macrophage Regulation,3,20290835,0.503250165747978,0.627721404367588,0.703983422411454,5.41622156426217,,,,,
continuous,thorsson,SARC,Macrophage Regulation,4,20300835,0.533693695066662,0.608182215124728,0.726972201091323,6.89111811641985,,,,,
continuous,thorsson,SARC,Macrophage Regulation,5,20310835,0.534279153924778,0.607800301462071,0.715110630674071,5.80702297253794,,,,,
continuous,thorsson,TGCT,TGF-beta Response,1,20270830,0.692617145481604,0.291989277991871,0.81398217754561,6.4373660590721,,,,,
continuous,thorsson,TGCT,TGF-beta Response,2,20280830,0.681679819750363,0.297138666881809,0.809588106764791,7.04125817724205,,,,,
continuous,thorsson,TGCT,TGF-beta Response,3,20290830,0.685778458386049,0.295219514729645,0.807827887172306,7.52137606364249,,,,,
continuous,thorsson,TGCT,TGF-beta Response,4,20300830,0.672092551798648,0.301580130825913,0.796755717243552,4.74363600656421,,,,,
continuous,thorsson,TGCT,TGF-beta Response,5,20310830,0.68222206566818,0.296885476990004,0.806441552288214,5.19519054162148,,,,,
continuous,thorsson,TGCT,Wound Healing,1,20270840,0.502498608548127,0.137192391402774,0.671020678667543,2.22508769723439,,,,,
continuous,thorsson,TGCT,Wound Healing,2,20280840,0.487734401113075,0.139213217952251,0.66979350992899,2.00329833766821,,,,,
continuous,thorsson,TGCT,Wound Healing,3,20290840,0.474549015233349,0.140993464323644,0.649070461366627,2.22882972190126,,,,,
continuous,thorsson,TGCT,Wound Healing,4,20300840,0.49289500571284,0.138510220413219,0.65971888030011,1.56547339317223,,,,,
continuous,thorsson,TGCT,Wound Healing,5,20310840,0.472996417718568,0.141201613743573,0.655726417300019,2.07256294739372,,,,,
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,1,20270832,0.570972752373537,0.786454420019938,0.741654116212838,7.19224027336246,,,,,
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,2,20280832,0.576553851573623,0.781322288543751,0.745029512614232,7.33874642213729,,,,,
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,3,20290832,0.570357822061519,0.787017835858739,0.738452250553324,7.26889677947272,,,,,
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,4,20300832,0.577223500485379,0.78070424225724,0.7466396758026,7.31164725140791,,,,,
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,5,20310832,0.575187944020887,0.782581427135404,0.745252012837583,7.15663408123262,,,,,
continuous,thorsson,THCA,Macrophage Regulation,1,20270841,0.512166863329054,0.45200302486943,0.710266502865028,3.79670332055336,,,,,
continuous,thorsson,THCA,Macrophage Regulation,2,20280841,0.513085363429535,0.451577305093055,0.707102723811495,3.73977703483402,,,,,
continuous,thorsson,THCA,Macrophage Regulation,3,20290841,0.506711009476651,0.454523564710854,0.705859588528023,3.78521703227231,,,,,
continuous,thorsson,THCA,Macrophage Regulation,4,20300841,0.512974310812786,0.451628798700498,0.708977410100679,3.85155958500877,,,,,
continuous,thorsson,THCA,Macrophage Regulation,5,20310841,0.521197930205789,0.447799600986185,0.71461584889882,3.74958089450183,,,,,
continuous,thorsson,THCA,TGF-beta Response,1,20270834,0.529519781201034,0.231269429098443,0.706587755492519,2.15151158864874,,,,,
continuous,thorsson,THCA,TGF-beta Response,2,20280834,0.542288771411332,0.228109476312833,0.718295546620019,2.24267951803209,,,,,
continuous,thorsson,THCA,TGF-beta Response,3,20290834,0.53624317695837,0.229611005410422,0.709428326518661,2.19573513869047,,,,,
continuous,thorsson,THCA,TGF-beta Response,4,20300834,0.532319978569955,0.230580168962338,0.710167338446791,2.22150905011834,,,,,
continuous,thorsson,THCA,TGF-beta Response,5,20310834,0.523885490160664,0.232650104875621,0.696035459941575,2.21892001956831,,,,,
continuous,thorsson,THCA,Th1 Cells,1,20270839,0.527873084638276,500.693886025519,0.716475446833159,4849.07771286843,,,,,
continuous,thorsson,THCA,Th1 Cells,2,20280839,0.536058847069918,496.334377983354,0.721594215071922,4940.13129665931,,,,,
continuous,thorsson,THCA,Th1 Cells,3,20290839,0.532662586059741,498.147762436236,0.721347910239524,4741.00134800279,,,,,
continuous,thorsson,THCA,Th1 Cells,4,20300839,0.525916711917208,501.730187050532,0.710818208621553,4874.54420750597,,,,,
continuous,thorsson,THCA,Th1 Cells,5,20310839,0.525628208619233,501.882827738333,0.713025916077871,4843.74086117366,,,,,
continuous,thorsson,THYM,Th17 Cells,1,20270831,0.642867772720667,1635.08958152556,0.774378456143506,23477.2714311476,,,,,
continuous,thorsson,THYM,Th17 Cells,2,20280831,0.626218185793024,1672.76954883165,0.759587285887695,20598.4277717422,,,,,
continuous,thorsson,THYM,Th17 Cells,3,20290831,0.636821124835945,1648.87342975348,0.773928876500472,27652.3096412861,,,,,
continuous,thorsson,THYM,Th17 Cells,4,20300831,0.651313438888533,1615.64014117608,0.769852687736966,27159.4136174655,,,,,
continuous,thorsson,THYM,Th17 Cells,5,20310831,0.631237258823434,1661.50077224838,0.757436796595184,24736.0503573956,,,,,
binary,driver_mutation,COAD,APC,1,20270834,,,,6.98591164419318,0.887755102040816,0.698924731182796,0.793339916611806,0.854564406407724,0.471553000427117
binary,driver_mutation,COAD,APC,2,20280834,,,,3.79613698463711,0.903061224489796,0.682795698924731,0.792928461707264,0.848447443493526,0.491666561487475
binary,driver_mutation,COAD,APC,3,20290834,,,,4.81070602712274,0.908163265306122,0.67741935483871,0.792791310072416,0.851958525345622,0.466531895646932
binary,driver_mutation,COAD,APC,4,20300834,,,,4.66165237677795,0.892857142857143,0.661290322580645,0.777073732718894,0.852177967961378,0.49195569020229
binary,driver_mutation,COAD,APC,5,20310834,,,,3.78769889401202,0.857142857142857,0.71505376344086,0.786098310291859,0.84608843537415,0.491295843744969
binary,driver_mutation,COAD,TP53,1,20270836,,,,8.2907352199566,0.770186335403727,0.760180995475113,0.76518366543942,0.863044883505242,0.471934035927388
binary,driver_mutation,COAD,TP53,2,20280836,,,,9.86400729299825,0.826086956521739,0.760180995475113,0.793133975998426,0.856440234956859,0.449602395932462
binary,driver_mutation,COAD,TP53,3,20290836,,,,20.2286171355639,0.832298136645963,0.714932126696833,0.773615131671398,0.857620640229336,0.463103741948192
binary,driver_mutation,COAD,TP53,4,20300836,,,,6.279541059356,0.819875776397516,0.728506787330317,0.774191281863916,0.858576206402293,0.4411917302778
binary,driver_mutation,COAD,TP53,5,20310836,,,,10.543568731229,0.763975155279503,0.755656108597285,0.759815631938394,0.867063882409151,0.458809118507929
binary,driver_mutation,LGG,IDH1,1,20270835,,,,2.14517181825842,0.917333333333333,0.681818181818182,0.799575757575758,0.8584,0.6523709122241
binary,driver_mutation,LGG,IDH1,2,20280835,,,,2.14383285426046,0.866666666666667,0.709090909090909,0.787878787878788,0.858157575757576,0.685895153264997
binary,driver_mutation,LGG,IDH1,3,20290835,,,,2.20488049163929,0.872,0.718181818181818,0.795090909090909,0.855248484848485,0.704315380654465
binary,driver_mutation,LGG,IDH1,4,20300835,,,,2.06600900112563,0.901333333333333,0.672727272727273,0.787030303030303,0.845333333333333,0.64547534649459
binary,driver_mutation,LGG,IDH1,5,20310835,,,,2.08232370269347,0.888,0.690909090909091,0.789454545454546,0.858448484848485,0.682938830255644
binary,driver_mutation,LGG,TP53,1,20270832,,,,3.01640479164592,0.84051724137931,0.873517786561265,0.857017513970288,0.906535368679297,0.499290313203708
binary,driver_mutation,LGG,TP53,2,20280832,,,,3.04609572251991,0.844827586206897,0.873517786561265,0.859172686384081,0.910982008995502,0.480164227825669
binary,driver_mutation,LGG,TP53,3,20290832,,,,3.07760096677165,0.836206896551724,0.869565217391304,0.852886056971514,0.90539389396211,0.514892528011883
binary,driver_mutation,LGG,TP53,4,20300832,,,,2.94272788638434,0.853448275862069,0.873517786561265,0.863483031211667,0.909278315387761,0.485153192592224
binary,driver_mutation,LGG,TP53,5,20310832,,,,3.03325378341443,0.853448275862069,0.861660079051383,0.857554177456726,0.905530189450729,0.459026758445532
binary,driver_mutation,READ,APC,1,20270830,,,,4.56155726984101,0.923076923076923,0.771428571428571,0.847252747252747,0.903736263736264,0.38133639056667
binary,driver_mutation,READ,APC,2,20280830,,,,5.35742436664129,0.984615384615385,0.742857142857143,0.863736263736264,0.911648351648352,0.347649559384
