family,tumor_type,endpoint,repeat,outer_fold,n,positive,negative,training_patients,training_positive,training_negative,test_patients,test_positive,test_negative,limited_evidence
aneuploidy,BLCA,Genome doubling,1,1,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,1,2,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,1,3,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,1,4,376,228,148,302,183,119,74,45,29,FALSE
aneuploidy,BLCA,Genome doubling,1,5,376,228,148,302,183,119,74,45,29,FALSE
aneuploidy,BLCA,Genome doubling,2,1,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,2,2,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,2,3,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,2,4,376,228,148,302,183,119,74,45,29,FALSE
aneuploidy,BLCA,Genome doubling,2,5,376,228,148,302,183,119,74,45,29,FALSE
aneuploidy,BLCA,Genome doubling,3,1,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,3,2,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,3,3,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,3,4,376,228,148,302,183,119,74,45,29,FALSE
aneuploidy,BLCA,Genome doubling,3,5,376,228,148,302,183,119,74,45,29,FALSE
aneuploidy,BLCA,Genome doubling,4,1,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,4,2,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,4,3,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,4,4,376,228,148,302,183,119,74,45,29,FALSE
aneuploidy,BLCA,Genome doubling,4,5,376,228,148,302,183,119,74,45,29,FALSE
aneuploidy,BLCA,Genome doubling,5,1,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,5,2,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,5,3,376,228,148,300,182,118,76,46,30,FALSE
aneuploidy,BLCA,Genome doubling,5,4,376,228,148,302,183,119,74,45,29,FALSE
aneuploidy,BLCA,Genome doubling,5,5,376,228,148,302,183,119,74,45,29,FALSE
aneuploidy,BRCA,Genome doubling,1,1,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,1,2,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,1,3,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,1,4,998,438,560,799,351,448,199,87,112,FALSE
aneuploidy,BRCA,Genome doubling,1,5,998,438,560,799,351,448,199,87,112,FALSE
aneuploidy,BRCA,Genome doubling,2,1,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,2,2,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,2,3,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,2,4,998,438,560,799,351,448,199,87,112,FALSE
aneuploidy,BRCA,Genome doubling,2,5,998,438,560,799,351,448,199,87,112,FALSE
aneuploidy,BRCA,Genome doubling,3,1,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,3,2,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,3,3,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,3,4,998,438,560,799,351,448,199,87,112,FALSE
aneuploidy,BRCA,Genome doubling,3,5,998,438,560,799,351,448,199,87,112,FALSE
aneuploidy,BRCA,Genome doubling,4,1,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,4,2,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,4,3,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,4,4,998,438,560,799,351,448,199,87,112,FALSE
aneuploidy,BRCA,Genome doubling,4,5,998,438,560,799,351,448,199,87,112,FALSE
aneuploidy,BRCA,Genome doubling,5,1,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,5,2,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,5,3,998,438,560,798,350,448,200,88,112,FALSE
aneuploidy,BRCA,Genome doubling,5,4,998,438,560,799,351,448,199,87,112,FALSE
aneuploidy,BRCA,Genome doubling,5,5,998,438,560,799,351,448,199,87,112,FALSE
aneuploidy,COAD,Genome doubling,1,1,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,1,2,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,1,3,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,1,4,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,1,5,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,2,1,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,2,2,408,165,243,326,132,194,82,33,49,FALSE
